accuracy,precision,recall,f1_score,roc_auc,fit_time,param_tuned,param_value,resolved_max_features
0.6169230769230769,0.62110766430107,0.6169230769230769,0.6025936091622586,0.7758487692740795,43.52298903465271,max_features_config,sqrt,3
0.6169230769230769,0.62110766430107,0.6169230769230769,0.6025936091622586,0.7758487692740795,37.22745895385742,max_features_config,0.3,3
0.6169230769230769,0.6080640637697109,0.6169230769230769,0.6074632495573832,0.7733782821604562,54.85140585899353,max_features_config,0.5,5
0.6392307692307693,0.6281362842801399,0.6392307692307693,0.6296431769092901,0.7834062037003107,110.19931387901306,max_features_config,1.0,11
0.59,0.5894425756430296,0.59,0.5801062543517789,0.7498110187064022,33.02506613731384,sample_fraction,0.5,3
0.6169230769230769,0.62110766430107,0.6169230769230769,0.6025936091622586,0.7758487692740795,37.099308490753174,sample_fraction,0.7,3
0.6030769230769231,0.603651714586269,0.6030769230769231,0.5888666208167971,0.7569780640773136,39.776681423187256,sample_fraction,0.9,3
0.5692307692307692,0.5664320146468371,0.5692307692307692,0.5538056726155045,0.7397203411821772,6.277852296829224,n_trees,10,3
0.6169230769230769,0.62110766430107,0.6169230769230769,0.6025936091622586,0.7758487692740795,37.01491641998291,n_trees,50,3
0.6338461538461538,0.6395409185564023,0.6338461538461538,0.6201007074479242,0.7742478833051801,95.46524930000305,n_trees,100,3
0.6423076923076924,0.6492404131350341,0.6423076923076924,0.6307523294452893,0.7690369607625895,282.8992302417755,n_trees,200,3
0.4107692307692308,0.4155012270957089,0.4107692307692308,0.40910518618568453,0.6347206002214555,16.24251961708069,max_depth,5,3
0.6169230769230769,0.62110766430107,0.6169230769230769,0.6025936091622586,0.7758487692740795,37.16016507148743,max_depth,10,3
0.66,0.6731838961038961,0.66,0.6444293857241834,0.8311380416315609,68.506840467453,max_depth,None,3
0.4369230769230769,0.519607390300231,0.4369230769230769,0.2665930005356174,0.6682913804846344,190.40435576438904,prune,True,3
0.6169230769230769,0.62110766430107,0.6169230769230769,0.6025936091622586,0.7758487692740795,37.22258448600769,prune,False,3
0.6169230769230769,0.62110766430107,0.6169230769230769,0.6025936091622586,0.7758487692740795,37.240702629089355,criterion,gini,3
0.6015384615384616,0.6104257493065386,0.6015384615384616,0.5856396766312969,0.7642934582086898,39.03707981109619,criterion,entropy,3
0.6215384615384615,0.6224393634170807,0.6215384615384615,0.6089850833442219,0.7584484699233658,38.20410752296448,weighted_voting,True,3
0.6169230769230769,0.62110766430107,0.6169230769230769,0.6025936091622586,0.7758487692740795,37.01207780838013,weighted_voting,False,3
0.5869230769230769,0.6121062952973642,0.5869230769230769,0.5375889461118227,0.7817348098081303,27.026694297790527,error_weight_increase,0.0,3
0.6307692307692307,0.6292688427091515,0.6307692307692307,0.6200051373564379,0.7896511193508963,39.713855266571045,error_weight_increase,0.1,3
0.6169230769230769,0.62110766430107,0.6169230769230769,0.6025936091622586,0.7758487692740795,36.96226453781128,error_weight_increase,0.3,3
0.6046153846153847,0.6004257008367938,0.6046153846153847,0.592365363918029,0.7597228461030691,34.278085470199585,error_weight_increase,0.5,3
0.5892307692307692,0.589748868882767,0.5892307692307692,0.5731245490156583,0.7293834771620139,30.820382356643677,error_weight_increase,1.0,3
0.6161538461538462,0.6170449543227334,0.6161538461538462,0.604838303246425,0.7490206337121789,46.338366746902466,weighted_feature_sampling,True,3
0.6169230769230769,0.62110766430107,0.6169230769230769,0.6025936091622586,0.7758487692740795,37.231332302093506,weighted_feature_sampling,False,3
