accuracy,precision,recall,f1_score,roc_auc,fit_time,dataset,model
0.9,0.9023569023569024,0.9,0.8997493734335839,0.9849999999999999,6.916304588317871,Iris,ModifiedRF
0.9,0.9023569023569024,0.9,0.8997493734335839,0.9866666666666667,0.056224822998046875,Iris,ScikitRF
0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.975,0.06731986999511719,Iris,AdaBoost
0.6561538461538462,0.6786927758615987,0.6561538461538462,0.6398366113454682,0.8305814164129234,75.3430848121643,Wine Quality (original),ModifiedRF
0.6892307692307692,0.6897389962426195,0.6892307692307692,0.6774353377082827,0.8586438678590894,1.0165250301361084,Wine Quality (original),ScikitRF
0.4523076923076923,0.42434789450002464,0.4523076923076923,0.39755827905097435,0.6303486214247149,0.2510409355163574,Wine Quality (original),AdaBoost
0.74750656167979,0.821485266743226,0.74750656167979,0.7642594443886063,0.8605088925651906,137.65089511871338,Adult Census,ModifiedRF
0.8483989501312336,0.8431837330761142,0.8483989501312336,0.8447831748396178,0.8954977103694844,2.213348627090454,Adult Census,ScikitRF
0.849238845144357,0.8420881983928145,0.849238845144357,0.8402711317596855,0.9024182924055925,2.386077404022217,Adult Census,AdaBoost
0.8905230565077961,0.8682863536027857,0.8905230565077961,0.8570873066593304,0.712163401841591,122.8751916885376,Bank Marketing,ModifiedRF
0.8802388587858012,0.8508347283433962,0.8802388587858012,0.8577129994306308,0.6782640655387642,1.7340774536132812,Bank Marketing,ScikitRF
0.8928452947030853,0.8725260684834282,0.8928452947030853,0.8632658412844572,0.7379156689113449,1.15910005569458,Bank Marketing,AdaBoost
0.8782142857142857,0.8782035466599616,0.8782142857142857,0.8779628924496758,0.985769865692694,2052.591846227646,MNIST,ModifiedRF
0.9214285714285714,0.9215013314650418,0.9214285714285714,0.9213748276048849,0.9951376045519221,22.61206340789795,MNIST,ScikitRF
0.6282857142857143,0.6437331728418925,0.6282857142857143,0.6318428046308783,0.9223152010050116,25.286052227020264,MNIST,AdaBoost
